"id";"phenomenonTime";"resultnumber";"resultnumbers";"resultTime";"resultQuality";"validTime";"parameters";"datastream_id";"multidatastream_id";"featureofinterest_id";"temperature";"humidity";"battery"
31011;2021-11-16 19:15:30.000 +0100;;{0.2,15.329,100.0};2021-11-16 19:15:30.000 +0100;"";;"";;2;3;0.2;15.329;100.0
31022;2021-11-16 19:30:38.000 +0100;;{0.2,15.269,NULL};2021-11-16 19:30:38.000 +0100;"";;"";;2;3;0.2;15.269;
31034;2021-11-16 19:45:46.000 +0100;;{0.2,15.149,NULL};2021-11-16 19:45:46.000 +0100;"";;"";;2;3;0.2;15.149;
31046;2021-11-16 20:00:55.000 +0100;;{0.2,15.089,NULL};2021-11-16 20:00:55.000 +0100;"";;"";;2;3;0.2;15.089;
31058;2021-11-16 20:16:03.000 +0100;;{0.2,14.97,NULL};2021-11-16 20:16:03.000 +0100;"";;"";;2;3;0.2;14.97;
31069;2021-11-16 20:31:11.000 +0100;;{0.2,14.91,NULL};2021-11-16 20:31:11.000 +0100;"";;"";;2;3;0.2;14.91;
31081;2021-11-16 20:46:19.000 +0100;;{0.2,14.85,NULL};2021-11-16 20:46:19.000 +0100;"";;"";;2;3;0.2;14.85;
31092;2021-11-16 21:01:28.000 +0100;;{0.2,14.79,NULL};2021-11-16 21:01:28.000 +0100;"";;"";;2;3;0.2;14.79;
31103;2021-11-16 21:16:36.000 +0100;;{0.2,14.79,NULL};2021-11-16 21:16:36.000 +0100;"";;"";;2;3;0.2;14.79;
31114;2021-11-16 21:31:44.000 +0100;;{0.2,14.61,NULL};2021-11-16 21:31:44.000 +0100;"";;"";;2;3;0.2;14.61;
31126;2021-11-16 21:46:52.000 +0100;;{0.2,14.61,100.0};2021-11-16 21:46:52.000 +0100;"";;"";;2;3;0.2;14.61;100.0
31139;2021-11-16 22:02:01.000 +0100;;{0.2,14.55,NULL};2021-11-16 22:02:01.000 +0100;"";;"";;2;3;0.2;14.55;
31150;2021-11-16 22:17:09.000 +0100;;{0.2,14.491,NULL};2021-11-16 22:17:09.000 +0100;"";;"";;2;3;0.2;14.491;
31162;2021-11-16 22:32:17.000 +0100;;{0.2,14.431,NULL};2021-11-16 22:32:17.000 +0100;"";;"";;2;3;0.2;14.431;
